,Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
2021-10-28,2021-10-28,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,0.18528720000000004,325.1271405901228,288.85550079345705,-9.269894682607514,32.58009861448109,354.0156980224192,223.69530356449488,353.51080515373087,5.88057023761089
2021-10-29,2021-10-29,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200,0.1472793650793651,336.9461887904576,294.5018341064453,-10.609662345615789,36.566907511619256,367.6356491296838,221.36801908320678,365.39249738886184,5.914403528440087
2021-11-01,2021-11-01,381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100,0.21141072796934854,351.9266662597656,301.6195007324219,-11.860445659938023,42.90698909028314,387.43347891298816,215.80552255185563,390.3730606533235,5.9961120862604815
2021-11-02,2021-11-02,386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400,0.15545317073170734,364.41809517996654,308.143000793457,-14.295168630143905,46.07865546825811,400.30031172997326,215.98568985694078,390.5687912138689,5.965291646698246
2021-11-03,2021-11-03,392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,404.6199951171875,103885500,0.14722846153846156,373.41809517996654,315.3281677246094,-15.71666230051801,49.41050264807828,414.14917302076594,216.50716242845283,399.936260482759,6.000473829168021
2021-11-04,2021-11-04,411.4700012207031,414.4966735839844,405.6666564941406,409.9700012207031,409.9700012207031,76192200,0.1999832214765101,383.4885733468192,322.5998336791992,-18.992951694366695,52.1668965362035,426.9336267516062,218.26604060679222,406.62542097472436,6.0136418067041575
2021-11-05,2021-11-05,409.3333435058594,413.2900085449219,402.6666564941406,407.36334228515625,407.36334228515625,64886400,0.23387640449438196,392.2614310128348,329.8765014648437,-21.261059273863452,53.38006575625478,436.6366329773533,223.11636995233417,407.11736851501234,6.007247691125921
2021-11-08,2021-11-08,383.2633361816406,399.0,377.6666564941406,387.6466674804688,387.6466674804688,100337100,0.1395506912442396,396.3519069126674,336.0598342895508,-20.465068314092093,52.500410780530984,441.06065585061276,231.05901272848882,394.13690115864944,5.957511272061399
2021-11-09,2021-11-09,391.2000122070313,391.5,337.17333984375,341.1666564941406,341.1666564941406,177317400,0.1708174129353234,392.0423801967076,339.6895004272461,-24.638805402485787,50.04089478226214,439.7712899917704,239.60771086272183,358.82340471564305,5.829435663677255
2021-11-10,2021-11-10,336.8033447265625,359.3666687011719,329.10333251953125,355.9833374023437,355.9833374023437,128408100,0.16112857142857134,385.3452366420201,343.97066802978514,-18.61065417713968,47.38980092554903,438.7502698808832,249.1910661786871,356.93002650677676,5.872070851479039
2021-11-11,2021-11-11,367.5899963378906,368.3233337402344,351.5599975585937,354.5033264160156,354.5033264160156,67189800,0.24731125827814565,380.1790466308594,348.05716705322266,-18.314495915302018,44.353816746160696,436.76480054554406,259.34953356090125,355.3122264462693,5.86789289523865
2021-11-12,2021-11-12,349.1666564941406,351.5,339.7333374023437,344.47332763671875,344.47332763671875,76719300,0.24856279069767434,371.58666556222096,351.23033294677737,-16.00080647697291,41.481830586886026,434.1939941205494,268.2666717730053,348.0862939065689,5.839109459846179
2021-11-15,2021-11-15,339.2099914550781,343.99334716796875,326.20001220703125,337.7966613769531,337.7966613769531,104326800,0.15337417218543054,361.2761884416853,353.6183319091797,-13.064336065512464,39.078768605337565,431.7758691198548,275.46079469850457,341.2265388868251,5.819479369542773
